permno,ticker,company_name,date,open_price,high_price,low_price,close_price,close_ratio
10145,,ALLIED CHEMICAL CORP,1960-02-01,51.875,54.25,47.0,52.625,1.0218446601941749
11308,,COCA COLA CO,1960-02-01,147.0,149.25,48.625,50.0,0.3395585738539898
11404,,CONSOLIDATED EDISON CO NY INC,1960-02-01,63.5,63.75,61.25,62.0,0.9783037475345168
11674,,DETROIT EDISON CO,1960-02-01,41.25,41.875,40.625,41.75,1.0182926829268293
11762,,EATON MFG CO,1960-02-01,40.75,41.25,38.0,41.0,1.0030581039755353
11850,,STANDARD OIL CO N J,1960-02-01,46.75,47.5,45.0,45.0,0.9574468085106383
12052,,GENERAL DYNAMICS CORP,1960-02-01,47.375,49.625,45.125,47.625,1.016
12060,,GENERAL ELECTRIC CO,1960-02-01,86.25,91.0,85.5,89.5,1.0467836257309941
12490,,INTERNATIONAL BUSINESS MACHS COR,1960-02-01,414.0,426.0,413.0,418.0,1.0048076923076923
13856,,PEPSI COLA CO,1960-02-01,35.0,39.0,34.75,38.625,1.1195652173913042
13901,,PHILIP MORRIS INC,1960-02-01,61.5,64.625,61.25,64.125,1.034274193548387
13928,,PHILLIPS PETROLEUM CO,1960-02-01,44.25,45.5,43.0,44.375,1.002824858757062
14541,,STANDARD OIL CO CALIFORNIA,1960-02-01,45.625,48.125,43.0,43.5,0.9482288828337875
15579,,TEXAS INSTRUMENTS INC,1960-02-01,162.25,180.75,162.0,177.5,1.0973724884080371
15720,,SOUTHERN CALIFORNIA EDISON CO,1960-02-01,57.0,58.25,56.125,58.125,1.0264900662251657
16600,,HERSHEY CHOCOLATE CORP,1960-02-01,80.5,82.0,78.125,79.375,0.9860248447204969
16678,,KROGER COMPANY,1960-02-01,31.25,36.375,30.75,35.75,1.1304347826086958
17005,,MELVILLE SHOE CORP,1960-02-01,27.625,27.875,26.625,27.5,1.0091743119266054
17478,,MCGRAW HILL PUBLISHING INC,1960-02-01,67.0,70.5,65.25,70.5,1.0522388059701493
