permno,ticker,company_name,date,open_price,high_price,low_price,close_price,close_ratio
10145,HON,HONEYWELL INTERNATIONAL INC,2001-01-01,46.5,49.4375,42.4375,47.25,0.9986789960369881
11308,KO,COCA COLA CO,2001-01-01,60.3125,62.1875,55.1875,58.0,0.9517948717948718
11404,ED,CONSOLIDATED EDISON INC,2001-01-01,38.3125,38.375,31.4375,34.94,0.9075324675324675
11674,DTE,D T E ENERGY CO,2001-01-01,38.6875,38.875,33.125,35.29,0.9063242375601926
11762,ETN,EATON CORP,2001-01-01,65.25,71.9375,63.75,68.8,0.9150457190357439
11850,XOM,EXXON MOBIL CORP,2001-01-01,86.6875,89.75,78.6875,84.15,0.9679367361610353
12052,GD,GENERAL DYNAMICS CORP,2001-01-01,78.1875,78.1875,65.375,70.98,0.91
12060,GE,GENERAL ELECTRIC CO,2001-01-01,46.75,48.75,42.625,45.98,0.9591655801825293
12490,IBM,INTERNATIONAL BUSINESS MACHS COR,2001-01-01,84.5,116.75,83.75,112.0,1.3176470588235294
13856,PEP,PEPSICO INC,2001-01-01,49.375,49.5,42.25,44.07,0.8891803278688525
13901,MO,PHILIP MORRIS COS INC,2001-01-01,44.0,46.5,38.75,44.0,1.0
13928,P,PHILLIPS PETROLEUM CO,2001-01-01,57.125,59.0,53.0,58.63,1.030857142857143
14541,CHV,CHEVRON CORP,2001-01-01,85.1875,86.9375,78.4375,83.28,0.9862916358253145
15579,TXN,TEXAS INSTRUMENTS INC,2001-01-01,46.625,54.6875,40.02,43.8,0.9245382585751979
15720,EIX,EDISON INTERNATIONAL,2001-01-01,15.5,15.8125,6.25,13.34,0.85376
16600,HSY,HERSHEY FOODS CORP,2001-01-01,64.1875,66.125,55.125,59.5,0.9242718446601942
16678,KR,KROGER CO,2001-01-01,26.75,26.8125,22.0625,24.55,0.9071593533487298
17005,CVS,C V S CORP,2001-01-01,59.8125,59.8125,49.5,59.2,0.9876955161626695
