permno,company_name,date,price,return_ex_div,volume,shares_out_thousands,dividend_cash_amount,book_to_market_value,pe_ratio,finegrained_volatility_12m
10145,HONEYWELL INTERNATIONAL INC,1981-01-30,50.0,-0.065421,16862.0,33489.0,0.0,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1981-02-27,53.25,0.065,15091.0,33489.0,0.55,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1981-03-31,52.375,-0.016432,17792.0,33489.0,0.0,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1981-04-30,52.5,0.002387,18510.0,33489.0,0.0,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1981-05-29,54.25,0.033333,21018.0,33489.0,0.6,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1981-06-30,53.875,-0.006912,14697.0,33554.0,0.0,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1981-07-31,53.75,-0.00232,19102.0,33554.0,0.0,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1981-08-31,48.125,-0.104651,10889.0,33704.0,0.6,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1981-09-30,41.625,-0.135065,11637.0,33704.0,0.0,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1981-10-30,47.5,0.141141,15817.0,33704.0,0.0,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1981-11-30,47.0,-0.010526,10488.0,33912.0,0.6,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1981-12-31,43.875,-0.066489,13675.0,33744.0,0.0,1.0678694889221206e-06,4.784621276990185,4.218171256599239
10145,HONEYWELL INTERNATIONAL INC,1982-01-29,43.75,-0.002849,10674.0,33744.0,0.0,1.070920544604755e-06,4.784621276990185,4.568437398624558
10145,HONEYWELL INTERNATIONAL INC,1982-02-26,38.25,-0.125714,15996.0,33744.0,0.6,1.2249091196459618e-06,4.784621276990185,5.376838568566499
10145,HONEYWELL INTERNATIONAL INC,1982-03-31,32.5,-0.150327,17102.0,33744.0,0.0,1.4416238100448627e-06,4.784621276990185,6.803102010825426
10145,HONEYWELL INTERNATIONAL INC,1982-04-30,34.0,0.046154,11002.0,33744.0,0.0,1.378022759601707e-06,4.784621276990185,7.371628659320074
10145,HONEYWELL INTERNATIONAL INC,1982-05-28,34.375,0.011029,12894.0,33744.0,0.6,1.3629897840424155e-06,4.784621276990185,7.30623274552749
10145,HONEYWELL INTERNATIONAL INC,1982-06-30,30.25,-0.12,13476.0,30894.0,0.0,1.691735055671566e-06,4.784621276990185,7.356583322563414
10145,HONEYWELL INTERNATIONAL INC,1982-07-30,34.5,0.140496,19908.0,30894.0,0.0,1.483332911132315e-06,4.784621276990185,6.422579428481325
10145,HONEYWELL INTERNATIONAL INC,1982-08-31,34.875,0.01087,27161.0,30894.0,0.6,1.4673830948835803e-06,4.784621276990185,5.954212921549876
10145,HONEYWELL INTERNATIONAL INC,1982-09-30,31.125,-0.107527,44413.0,33547.0,0.0,1.5141497219689262e-06,4.784621276990185,6.225254041305291
10145,HONEYWELL INTERNATIONAL INC,1982-10-29,34.25,0.100402,42691.0,33547.0,0.0,1.3759973750739512e-06,4.784621276990185,5.449275389694234
10145,HONEYWELL INTERNATIONAL INC,1982-11-30,35.0,0.021898,28669.0,33547.0,0.6,1.3465117170366522e-06,4.784621276990185,4.349928160326327
10145,HONEYWELL INTERNATIONAL INC,1982-12-31,32.375,-0.075,48485.0,35250.0,0.0,1.4484514910046825e-06,5.204982696141479,3.544294924967658
10145,HONEYWELL INTERNATIONAL INC,1983-01-31,34.625,0.069498,49328.0,35250.0,0.0,1.3543282894231509e-06,5.204982696141479,2.0801585658528268
10145,HONEYWELL INTERNATIONAL INC,1983-02-28,37.5,0.083033,42603.0,35250.0,0.6,1.2504964539007093e-06,5.204982696141479,1.9424423765876857
10145,HONEYWELL INTERNATIONAL INC,1983-03-31,44.5,0.186667,59780.0,35250.0,0.0,1.0537891465455415e-06,5.204982696141479,3.6024474792714285
10145,HONEYWELL INTERNATIONAL INC,1983-04-29,45.5,0.022472,37666.0,35250.0,0.0,1.0306289455225626e-06,5.204982696141479,4.729158323313957
10145,HONEYWELL INTERNATIONAL INC,1983-05-31,48.875,0.074176,36379.0,49521.0,0.6,6.829622153633342e-07,5.204982696141479,6.023971605304521
10145,HONEYWELL INTERNATIONAL INC,1983-06-30,50.125,0.025575,24774.0,49521.0,0.0,6.659307386709818e-07,5.204982696141479,6.708380387563184
10145,HONEYWELL INTERNATIONAL INC,1983-07-29,52.25,0.042394,25880.0,49521.0,0.0,6.388474311173772e-07,5.204982696141479,7.616581293865413
10145,HONEYWELL INTERNATIONAL INC,1983-08-31,53.875,0.031101,29367.0,53014.0,0.6,5.787553206844543e-07,5.204982696141479,8.372766549771322
10145,HONEYWELL INTERNATIONAL INC,1983-09-30,56.625,0.051044,37922.0,53014.0,0.0,5.506479982671077e-07,5.204982696141479,8.6842224578237
10145,HONEYWELL INTERNATIONAL INC,1983-10-31,55.375,-0.022075,29462.0,53014.0,0.0,5.630779756546271e-07,5.204982696141479,8.7152652018099
10145,HONEYWELL INTERNATIONAL INC,1983-11-30,54.5,-0.015801,21262.0,53493.0,0.6,5.669952186147308e-07,5.204982696141479,8.38041858857281
10145,HONEYWELL INTERNATIONAL INC,1983-12-30,55.75,0.022936,27298.0,53459.0,0.0,5.546348456807392e-07,5.204982696141479,7.270152242997622
10145,HONEYWELL INTERNATIONAL INC,1984-01-31,52.625,-0.056054,30433.0,53459.0,0.0,6.671927726351791e-07,8.068015157742403,5.6921496977695405
10145,HONEYWELL INTERNATIONAL INC,1984-02-29,48.5,-0.078385,29305.0,53459.0,0.6,7.239385496892021e-07,8.068015157742403,4.029131608070304
10145,HONEYWELL INTERNATIONAL INC,1984-03-30,51.5,0.061856,25183.0,53459.0,0.0,6.817673720374039e-07,8.068015157742403,3.369734950461729
10145,HONEYWELL INTERNATIONAL INC,1984-04-30,53.375,0.036408,19655.0,53459.0,0.0,6.578176985466286e-07,8.068015157742403,2.6527885199951107
10145,HONEYWELL INTERNATIONAL INC,1984-05-31,33.375,-0.062061,20415.0,80189.0,0.675,7.013393404897409e-07,8.068015157742403,6.16981709554051
10145,HONEYWELL INTERNATIONAL INC,1984-06-29,31.625,-0.052435,27116.0,80189.0,0.0,7.401486320583432e-07,8.068015157742403,8.436672237735056
10145,HONEYWELL INTERNATIONAL INC,1984-07-31,28.75,-0.090909,30128.0,80189.0,0.0,8.141634952641775e-07,8.068015157742403,10.361568295286123
10145,HONEYWELL INTERNATIONAL INC,1984-08-31,34.0,0.182609,41039.0,80275.0,0.45,6.877095279095756e-07,8.068015157742403,10.909276355746995
10145,HONEYWELL INTERNATIONAL INC,1984-09-28,35.25,0.036765,33815.0,80275.0,0.0,6.633226652177467e-07,8.068015157742403,10.820784179769568
10145,HONEYWELL INTERNATIONAL INC,1984-10-31,32.875,-0.067376,52151.0,80275.0,0.0,7.112433140357587e-07,8.068015157742403,10.723866004540211
10145,HONEYWELL INTERNATIONAL INC,1984-11-30,34.75,0.057034,37434.0,80275.0,0.45,6.72866876228074e-07,8.068015157742403,10.249462984823774
10145,HONEYWELL INTERNATIONAL INC,1984-12-31,34.5,-0.007194,44822.0,83029.0,0.0,7.924592786770329e-07,6.872509960159363,9.263573936841725
10145,HONEYWELL INTERNATIONAL INC,1985-01-31,39.0,0.130435,54444.0,83029.0,0.0,7.010216695989137e-07,6.872509960159363,8.256884180103073
10145,HONEYWELL INTERNATIONAL INC,1985-02-28,38.625,-0.009615,36967.0,83029.0,0.45,7.078277052260876e-07,6.872509960159363,7.594379338555511
10145,HONEYWELL INTERNATIONAL INC,1985-03-29,37.75,-0.022654,44625.0,83029.0,0.0,7.242343076651029e-07,6.872509960159363,6.159140703421666
10145,HONEYWELL INTERNATIONAL INC,1985-04-30,44.5,0.178808,109224.0,83029.0,0.0,6.143785418956772e-07,6.872509960159363,4.088277773282441
10145,HONEYWELL INTERNATIONAL INC,1985-05-31,41.625,-0.064607,103683.0,83335.0,0.45,6.544013263878866e-07,6.872509960159363,4.395837821339093
10145,HONEYWELL INTERNATIONAL INC,1985-06-28,42.625,0.024024,62052.0,83335.0,0.0,6.390488026016606e-07,6.872509960159363,4.521989623110075
10145,HONEYWELL INTERNATIONAL INC,1985-07-31,44.625,0.046921,68316.0,83335.0,0.0,6.104079599080287e-07,6.872509960159363,4.192500406570157
10145,HONEYWELL INTERNATIONAL INC,1985-08-30,41.5,-0.070028,57351.0,83335.0,0.45,6.563724147203803e-07,6.872509960159363,4.042432956097785
